⚽Football,#genre#


CCTV5[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV5[1920*1080],http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920*1080],http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225507/index.m3u8
CCTV5[1920*1080],http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8


北京冬奥纪实,http://39.135.138.58:18890/PLTV/88888888/224/3221225676/index.m3u8?zbeid
北京冬奥纪实,http://39.134.65.164/PLTV/88888888/224/3221225670/1.m3u8?zbeid

五星体育,http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
五星体育,http://111.26.225.22/PLTV/2/224/3221225857/index.m3u8
PP体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
风云足球,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
广东体育,http://hongyanqiang.top/chudian.php?id=gdty
精品體育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
咪咕視頻,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
MAX極速汽車,http://39.134.39.38/PLTV/88888888/224/3221226195/index.m3u8
勁爆體育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/2300000/mnf.m3u8
體育賽事,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226253/1/index.m3u8?fmt=ts2hls
咪咕視頻,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
新視覺HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
风尚运动,http://211.94.219.178:18080/PLTV/68/224/3221226429/index.m3u8
超级體育,http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8




